Date,Promo Power,Cost of BZ,Cost of Display,Cost of PLA,Cost of Search,TOT COST,COST exc BZ,GMV of BZ,GMV of Display,GMV of PLA,GMV of Search,TOT GMV,GMV exc BZ,Cost of BZ EC,Cost of Display EC,Cost of Display NC,Cost of PLA EC,Cost of PLA NC,Cost of Search EC,Cost of Search NC,COST ON EC exc BZ,COST on NC exc BZ
6/20/2019,0,1447,0,808,4482,6738,5291,42815,0,3831,18499,65145,22330,1447,0,0,485,323,3810,672,4295,996
6/21/2019,0,1447,0,483,2993,4922,3475,51761,0,5326,22353,79440,27679,1447,0,0,290,193,2544,449,2834,642
6/22/2019,0,1447,0,539,3367,5353,3906,39794,0,5735,18284,63813,24019,1447,0,0,323,216,2862,505,3185,721
6/23/2019,2,1447,0,397,3601,5446,3999,77939,0,4149,30474,112563,34624,1447,0,0,238,159,3061,540,3300,699
6/24/2019,2,1447,891,0,3665,6003,4556,57588,8169,0,34336,100092,42504,1447,445,445,0,0,3115,550,3560,995
6/25/2019,2,1447,6548,0,4565,12560,11113,52306,10434,0,28534,91275,38969,1447,3274,3274,0,0,3880,685,7154,3959
6/26/2019,2,1447,7601,0,5076,14124,12677,35788,17160,0,30078,83026,47238,1447,3801,3801,0,0,4314,761,8115,4562
6/27/2019,2,1447,6897,0,5134,13477,12030,45000,18096,0,31374,94470,49470,1447,3448,3448,0,0,4364,770,7812,4218
6/28/2019,2,1447,5651,1027,4702,12828,11381,33353,15815,11491,41425,102083,68731,1447,2826,2826,616,411,3997,705,7439,3942
6/29/2019,2,1447,5925,1066,5365,13802,12355,40702,24575,13868,24971,104116,63414,1447,2963,2963,639,426,4560,805,8162,4194
6/30/2019,0,1447,3364,1077,2011,7899,6452,57702,14404,9824,13192,95121,37419,1447,1682,1682,646,431,1710,302,4038,2414
