Date,Promo Power,Cost of BZ,Cost of Display,Cost of PLA,Cost of Search,TOT COST,Cost exc BZ,GMV of BZ,GMV of Display,GMV of PLA,GMV of Search,TOT GMV,GMV exc BZ,Cost of BZ EC,Cost of Display EC,Cost of Display NC,Cost of PLA EC,Cost of PLA NC,Cost of Search EC,Cost of Search NC,Cost on EC exc BZ,Cost on NC exc BZ
5/23/2019,0,5659,4030,0,2615,12304,6645,63373,4382,0,31490,99245,35872,5659,1814,2217,0,0,2223,392,4037,2609
5/24/2019,0,5659,4266,0,3169,13094,7435,58818,5894,0,32826,97538,38720,5659,1920,2346,0,0,2694,475,4613,2822
5/25/2019,0,5659,6985,0,4995,17639,11980,92656,5989,0,38380,137026,44369,5659,3143,3842,0,0,4246,749,7389,4591
5/26/2019,0,5659,7341,0,2705,15706,10047,95029,19928,0,30548,145505,50476,5659,3304,4038,0,0,2300,406,5603,4443
5/27/2019,5,5659,7995,0,5301,18955,13296,124977,29597,0,44389,198963,73986,5659,3598,4397,0,0,4506,795,8103,5192
5/28/2019,5,5659,6583,0,5235,17478,11819,110195,28047,0,41372,179614,69419,5659,2963,3621,0,0,4450,785,7412,4406
5/29/2019,5,5659,47948,185,8525,62316,56657,96815,174719,339,67079,338952,242137,5659,21577,26371,111,74,7246,1279,28933,27724
5/30/2019,5,5659,52448,225,11517,69850,64191,113371,174209,2174,75286,365040,251669,5659,23602,28846,135,90,9790,1728,33527,30664
5/31/2019,5,5659,72738,345,16100,94842,89183,188483,254153,10103,95118,547858,359375,5659,32732,40006,207,138,13685,2415,46624,42559
6/1/2019,5,5659,21570,596,8749,36574,30915,285289,111818,9006,125851,531964,246675,5659,8628,12942,357,238,7437,1312,16422,14493
6/2/2019,5,5659,17468,553,6427,30106,24447,209276,64742,3962,103367,381348,172072,5659,6987,10481,332,221,5463,964,12781,11666
6/3/2019,0,5659,5145,579,5162,16545,10886,53221,18946,199,34270,106636,53415,5659,2058,3087,347,232,4388,774,6793,4093
6/4/2019,0,5659,985,494,5377,12514,6855,71218,13306,2911,52712,140147,68929,5659,394,591,296,198,4570,806,5260,1595
6/5/2019,0,5659,2333,500,5651,14143,8484,98194,28221,5502,55924,187841,89647,5659,933,1400,300,200,4803,848,6036,2448
6/6/2019,5,5659,8430,500,6317,20907,15248,111813,46096,1919,74538,234365,122553,5659,3372,5058,300,200,5370,948,9042,6206
6/7/2019,5,5659,8872,392,6915,21838,16179,131401,57611,4482,76992,270485,139084,5659,3549,5323,235,157,5878,1037,9661,6517
6/8/2019,0,5659,4115,392,6027,16194,10535,75110,21673,797,53155,150734,75625,5659,1646,2469,235,157,5123,904,7005,3530
6/9/2019,0,5659,4527,390,4959,15535,9876,109152,28276,1161,51619,190208,81056,5659,1811,2716,234,156,4215,744,6260,3616
6/10/2019,0,5659,4283,400,4137,14479,8820,75810,38824,225,45006,159865,84055,5659,1713,2570,240,160,3516,621,5469,3350
6/11/2019,0,5659,8161,328,5418,19567,13908,86927,47581,1303,50940,186751,99824,5659,3265,4897,197,131,4606,813,8067,5841
6/12/2019,0,5659,8239,298,6829,21025,15366,85167,50958,1388,65478,202991,117824,5659,3296,4944,179,119,5805,1024,9279,6087
6/13/2019,5,5659,7952,263,9969,23843,18184,102637,54965,688,64401,222691,120054,5659,3181,4771,158,105,8474,1495,11812,6372
6/14/2019,5,5659,23392,303,13030,42384,36725,110946,113625,6245,64459,295276,184330,5659,9357,14035,182,121,11076,1955,20614,16111
6/15/2019,5,5659,40786,385,30473,77304,71645,315104,193772,19722,168621,697219,382115,5659,16314,24472,231,154,25902,4571,42448,29197
6/16/2019,5,5659,21504,436,28525,56124,50465,279251,71613,8755,174003,533622,254371,5659,8602,12902,262,174,24246,4279,33110,17356
6/17/2019,5,5659,17406,286,14834,38185,32526,173485,51459,2657,114238,341838,168354,5659,6962,10443,171,114,12609,2225,19743,12783
6/18/2019,5,5659,7702,300,11153,24814,19155,213539,32456,5648,108023,359667,146128,5659,3081,4621,180,120,9480,1673,12741,6414
6/19/2019,0,5659,647,291,1928,8525,2866,43760,4050,1232,20920,69962,26202,5659,259,388,174,116,1639,289,2072,794
6/20/2019,0,5659,703,300,1892,8554,2895,50103,5677,1076,23467,80323,30220,5659,281,422,180,120,1608,284,2069,826
6/21/2019,0,5659,784,300,1721,8463,2804,35999,4072,813,15330,56214,20215,5659,313,470,180,120,1463,258,1956,848
6/22/2019,0,5659,784,300,1893,8636,2977,60497,3960,189,20118,84764,24267,5659,314,470,180,120,1609,284,2103,874
6/23/2019,2,5659,2164,300,2084,10207,4548,58117,11840,1213,24703,95872,37756,5659,866,1298,180,120,1772,313,2817,1731
6/24/2019,2,5659,2149,300,2070,10177,4518,50699,11892,2487,22722,87801,37101,5659,859,1289,180,120,1759,310,2799,1720
6/25/2019,2,5659,2105,300,2117,10181,4522,47145,8005,1710,20285,77145,30000,5659,842,1263,180,120,1800,318,2822,1700
6/26/2019,2,5659,2131,171,2143,10103,4444,50870,11364,1222,20285,83741,32871,5659,852,1278,102,68,1821,321,2776,1668
6/27/2019,2,5659,2049,298,2047,10053,4394,39139,10654,2126,25715,77634,38495,5659,820,1230,179,119,1740,307,2738,1656
6/28/2019,2,5659,1702,300,2059,9720,4061,38359,9973,2563,22867,73762,35403,5659,681,1021,180,120,1750,309,2611,1450
6/29/2019,2,5659,1547,300,2263,9769,4110,66514,11648,862,30041,109065,42551,5659,619,928,180,120,1924,339,2722,1387
6/30/2019,0,5659,1394,300,2560,9913,4254,51207,6220,702,26748,84877,33670,5659,558,837,180,120,2176,384,2914,1341
