Date,Promo Power,Cost of BZ,Cost of Display,Cost of PLA,Cost of Search,TOT COST,Cost exc BZ,GMV of BZ,GMV of Display,GMV of PLA,GMV of Search,TOT GMV,GMV exc BZ,Cost of BZ EC,Cost of Display EC,Cost of Display NC,Cost of PLA EC,Cost of PLA NC,Cost of Search EC,Cost of Search NC,Cost on EC exc BZ,Cost on NC exc BZ
4/20/2020,0,7970,1570,937,1193,11670,3700,75762,4292,12789,11147,103990,28228,7970,471,1099,375,562,835,358,1681,2019
4/21/2020,0,7970,1572,1136,1276,11953,3983,72694,8394,10515,14099,105701,33007,7970,472,1100,454,682,893,383,1819,2165
4/22/2020,0,7970,1585,1127,1609,12292,4322,53169,11820,10915,18124,94028,40858,7970,476,1110,451,676,1127,483,2053,2269
4/23/2020,0,7970,1577,1137,1370,12055,4085,69094,16120,10537,8989,104740,35646,7970,473,1104,455,682,959,411,1887,2198
4/24/2020,0,7970,1577,1120,1139,11806,3836,56553,17706,6222,9818,90298,33745,7970,473,1104,448,672,797,342,1718,2118
4/25/2020,3,7970,3050,1134,1702,13856,5886,73248,28769,12246,19290,133553,60305,7970,915,2135,454,680,1191,511,2560,3326
4/26/2020,3,7970,3050,1492,2083,14595,6625,86646,35412,16250,16312,154619,67974,7970,915,2135,597,895,1458,625,2970,3655
4/27/2020,3,7970,2465,1684,1978,14097,6127,80173,21439,26875,12687,141174,61001,7970,739,1725,674,1010,1385,593,2798,3329
4/28/2020,3,7970,4068,1553,1928,15519,7549,97838,28945,27321,18162,172266,74428,7970,1220,2848,621,932,1349,578,3191,4358
4/29/2020,3,7970,2385,1607,1316,13278,5308,79428,18499,17649,21330,136907,57479,7970,715,1669,643,964,921,395,2279,3028
4/30/2020,3,7970,2181,1584,1343,13078,5108,89079,13149,20555,16721,139504,50425,7970,654,1526,634,950,940,403,2228,2880
5/1/2020,4,7970,3668,1957,1970,15565,7595,109025,31735,15669,19706,176135,67110,7970,917,2751,783,1174,1379,591,3079,4516
5/2/2020,4,7970,3656,1663,2292,15582,7612,123696,34777,25011,30578,214063,90367,7970,914,2742,665,998,1605,688,3184,4428
5/3/2020,4,7970,5495,1268,2349,17082,9112,153166,68700,23564,24060,269491,116325,7970,1374,4121,507,761,1645,705,3526,5587
5/4/2020,4,7970,5999,3741,2628,20338,12368,228832,86889,51691,43908,411320,182488,7970,1500,4499,1496,2244,1840,788,4836,7532
5/5/2020,4,7970,4687,5266,3025,20948,12978,257770,49313,54088,55874,417046,159275,7970,1172,3515,2106,3160,2118,908,5396,7582
5/6/2020,4,7970,2185,3277,2015,15447,7477,105005,21636,26985,26677,180304,75299,7970,546,1639,1311,1966,1410,604,3267,4209
5/7/2020,4,7970,2183,3449,1543,15145,7175,110174,16331,28673,23191,178369,68195,7970,546,1637,1380,2069,1080,463,3005,4169
5/8/2020,0,7970,1565,2320,1081,12937,4967,81965,7789,18277,14193,122224,40259,7970,391,1174,928,1392,757,324,2076,2891
5/9/2020,0,7970,1567,1617,1044,12199,4229,91830,7011,14110,12668,125619,33789,7970,392,1175,647,970,731,313,1770,2459
5/10/2020,0,7970,1565,1214,1090,11839,3869,91272,9700,9053,15568,125592,34320,7970,391,1174,486,728,763,327,1640,2229
5/11/2020,0,7970,1574,989,1017,11551,3581,80316,13451,10152,19318,123236,42920,7970,394,1181,396,593,712,305,1501,2079
5/12/2020,0,7970,1569,1182,1073,11793,3823,90706,14815,12117,13765,131403,40697,7970,392,1176,473,709,751,322,1616,2207
5/13/2020,1,7970,1572,1362,1156,12061,4091,93281,8009,10327,17528,129145,35864,7970,393,1179,545,817,809,347,1747,2343
5/14/2020,1,7970,1572,1236,1166,11944,3974,62309,9728,11325,17728,101090,38781,7970,393,1179,495,742,816,350,1703,2271
5/15/2020,4,7970,3615,2691,1243,15519,7549,90025,25518,21267,12966,149776,59751,7970,904,2711,1077,1615,870,373,2851,4699
5/16/2020,4,7970,6027,6167,1644,21808,13838,124806,47814,40464,19119,232204,107398,7970,1507,4520,2467,3700,1150,493,5124,8714
5/17/2020,4,7970,7263,6873,2164,24270,16300,196785,69057,69808,31484,367134,170349,7970,1816,5447,2749,4124,1515,649,6080,10220
5/18/2020,4,7970,4233,1873,1560,15636,7666,170286,38430,23386,31659,263762,93476,7970,1058,3175,749,1124,1092,468,2899,4766
5/19/2020,4,7970,1883,1511,1423,12787,4817,104665,14244,10775,18664,148349,43684,7970,471,1412,604,907,996,427,2071,2746
5/20/2020,4,7970,1466,517,1130,11083,3113,110759,11953,5714,13731,142157,31397,7970,366,1099,207,310,791,339,1365,1749
5/21/2020,0,7970,680,761,1037,10448,2478,65902,3268,5481,14903,89553,23652,7970,170,510,304,457,726,311,1200,1278
5/22/2020,0,7970,395,1118,921,10404,2434,69683,4080,11846,13851,99460,29777,7970,99,296,447,671,645,276,1191,1243
5/23/2020,0,7970,399,1309,1291,10969,2999,90544,1903,15375,15035,122857,32313,7970,100,299,524,785,903,387,1527,1472
5/24/2020,0,7970,422,1810,1659,11861,3891,99680,5410,12278,19387,136755,37075,7970,106,317,724,1086,1161,498,1991,1900
5/25/2020,5,7970,7099,6160,2081,23311,15341,81838,31793,37646,14044,165322,83484,7970,1775,5324,2464,3696,1457,624,5696,9645
5/26/2020,5,7970,7033,4965,2967,22935,14965,72589,41644,34081,14317,162631,90042,7970,1758,5275,1986,2979,2077,890,5821,9144
5/27/2020,5,7970,4942,3443,2693,19048,11078,76842,39190,26396,20399,162827,85985,7970,1235,3706,1377,2066,1885,808,4498,6580
5/28/2020,5,7970,6147,4921,2706,21744,13774,76008,37281,22848,22828,158965,82957,7970,1537,4610,1968,2952,1895,812,5399,8374
5/29/2020,5,7970,6958,9405,4426,28759,20789,91166,46608,33194,22804,193773,102607,7970,1739,5218,3762,5643,3098,1328,8600,12189
5/30/2020,5,7970,13221,16621,6449,44261,36291,136368,77268,76814,32408,322858,186490,7970,3305,9916,6648,9973,4514,1935,14468,21823
5/31/2020,5,7970,19733,24467,9654,61824,53854,220884,121402,165047,70082,577414,356530,7970,4933,14800,9787,14680,6758,2896,21478,32376
6/1/2020,5,7970,2384,9002,7425,26781,18811,223926,9804,58697,58624,351051,127124,7970,715,1669,3601,5401,5198,2228,9514,9297
6/2/2020,5,7970,1563,2703,3010,15246,7276,138031,7800,13867,28470,188167,50137,7970,469,1094,1081,1622,2107,903,3657,3619
6/3/2020,5,7970,12,2870,2998,13849,5879,120640,0,25284,35620,181544,60904,7970,3,8,1148,1722,2098,899,3250,2629
6/4/2020,5,7970,0,955,1898,10823,2853,67134,0,11484,15616,94233,27100,7970,0,0,382,573,1328,569,1710,1142
6/5/2020,5,7970,0,622,1469,10061,2091,74982,0,6221,12657,93861,18879,7970,0,0,249,373,1028,441,1277,814
6/6/2020,5,7970,0,1314,1419,10704,2734,120125,0,21324,26390,167839,47714,7970,0,0,526,789,994,426,1519,1214
6/7/2020,5,7970,0,1212,1458,10640,2670,127063,0,14577,27626,169266,42203,7970,0,0,485,727,1021,437,1506,1165
6/8/2020,5,7970,3,996,1116,10086,2116,72674,0,10640,14297,97611,24937,7970,1,2,398,598,781,335,1181,935
6/9/2020,5,7970,245,3092,1846,13153,5183,70840,876,28908,23664,124288,53448,7970,74,172,1237,1855,1292,554,2603,2581
6/10/2020,5,7970,309,2638,2618,13534,5564,88707,1176,25538,20275,135697,46990,7970,93,216,1055,1583,1832,785,2980,2584
6/11/2020,5,7970,0,2912,2816,13699,5729,81776,0,28653,17664,128093,46317,7970,0,0,1165,1747,1971,845,3136,2592
6/12/2020,5,7970,,4433,3332,15735,7765,75500,,35054,21615,132168,56668,7970,0,0,1773,2660,2332,1000,4106,3660
6/13/2020,5,7970,3900,7451,5616,24937,16967,119022,22287,49717,33803,224829,105807,7970,1170,2730,2980,4470,3931,1685,8082,8885
6/14/2020,5,7970,6501,8101,6212,28783,20813,127326,41734,50459,31377,250896,123570,7970,1950,4551,3240,4860,4348,1864,9539,11274
6/15/2020,5,7970,12266,14642,10248,45127,37157,209342,88083,100305,59353,457083,247742,7970,3680,8586,5857,8785,7174,3075,16711,20446
6/16/2020,5,7970,2788,9530,4789,25078,17108,249330,18185,82227,65453,415194,165864,7970,837,1952,3812,5718,3353,1437,8001,9107
6/17/2020,5,7970,1791,4530,3751,18043,10073,196690,13266,38667,56878,305501,108810,7970,537,1254,1812,2718,2626,1125,4975,5097
6/18/2020,5,7970,1035,5101,7533,21639,13669,218662,9830,39538,64863,332892,114231,7970,311,725,2040,3061,5273,2260,7624,6045
6/19/2020,5,7970,3,1205,2961,12138,4168,91680,308,10214,28811,131012,39332,7970,1,2,482,723,2073,888,2555,1613
6/20/2020,5,7970,481,1214,2248,11914,3944,112587,2576,11338,25163,151664,39077,7970,144,337,486,728,1574,674,2204,1740
6/21/2020,0,7970,0,212,698,8880,910,50871,0,937,4064,55872,5002,7970,0,0,85,127,488,209,573,336
6/22/2020,0,7970,,175,589,8733,763,38195,,747,6545,45487,7293,7970,0,0,70,105,412,177,482,281
6/23/2020,0,7970,,512,889,9371,1401,37495,,3017,7467,47979,10484,7970,0,0,205,307,622,267,827,574
6/24/2020,0,7970,,1076,1310,10356,2386,35622,,5041,6321,46984,11361,7970,0,0,430,645,917,393,1348,1039
6/25/2020,0,7970,,1084,1470,10524,2554,51717,,1526,8563,61806,10089,7970,0,0,434,650,1029,441,1463,1091
6/26/2020,0,7970,,1138,1622,10730,2760,47033,,4270,10268,61571,14538,7970,0,0,455,683,1135,487,1591,1170
6/27/2020,0,7970,,1457,1811,11238,3268,48330,,8026,7705,64061,15731,7970,0,0,583,874,1268,543,1851,1417
6/28/2020,2,7970,,941,1573,10484,2514,58356,,6923,13956,79235,20879,7970,0,0,376,564,1101,472,1478,1036
6/29/2020,2,7970,,1061,1303,10334,2364,44457,,8155,9970,62582,18125,7970,0,0,424,636,912,391,1337,1027
6/30/2020,2,7970,,1427,1466,10863,2893,52098,,6867,12502,71468,19369,7970,0,0,571,856,1026,440,1597,1296
4/1/2019,0,5659,1499,,3251,10409,4750,44547,4218,,22988,71753,27206,5659,825,675,0,0,2763,488,3588,1162
4/2/2019,0,5659,1350,,3750,10759,5100,43108,3749,,21011,67868,24760,5659,742,607,0,0,3188,563,3930,1170
4/3/2019,0,5659,1194,,3769,10622,4963,50090,2548,,29745,82383,32293,5659,657,537,0,0,3203,565,3860,1103
4/4/2019,0,5659,1308,,3775,10742,5083,66269,12105,,23421,101795,35526,5659,720,589,0,0,3209,566,3928,1155
4/5/2019,0,5659,1450,,4005,11114,5455,72075,7075,,29192,108342,36267,5659,797,652,0,0,3404,601,4202,1253
4/6/2019,0,5659,0,,2463,8122,2463,79670,0,,29419,109089,29419,5659,0,0,0,0,2094,369,2094,369
4/7/2019,3,5659,418,,4891,10967,5308,3189,2617,,88092,93898,90709,5659,230,188,0,0,4157,734,4387,922
4/8/2019,3,5659,6201,,2931,14791,9132,59623,37075,,55530,152228,92605,5659,3411,2791,0,0,2491,440,5902,3230
4/9/2019,3,5659,8467,,4847,18974,13315,82274,46617,,42702,171593,89319,5659,4657,3810,0,0,4120,727,8777,4537
4/10/2019,3,5659,6385,,4994,17038,11379,88855,36926,,41374,167156,78300,5659,3512,2873,0,0,4245,749,7757,3622
4/11/2019,3,5659,4284,,4135,14078,8419,56437,23094,,40242,119774,63336,5659,2356,1928,0,0,3515,620,5871,2548
4/12/2019,3,5659,3610,,3195,12463,6804,48409,16701,,24818,89928,41519,5659,1985,1624,0,0,2716,479,4701,2104
